Style,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,PrimaryTemp
American Amber Ale,3.76,43.07,14.63,49.21,90,1.035,35.0,1.5,20.56
American Brown Ale,7.07,59.65,19.58,26.0,60,1.051,75.0,2.8,19.0
American Stout,6.12,23.02,40.0,24.61,90,1.046,75.0,1.5,20.0
American Amber Ale,5.58,35.17,14.28,28.5,90,1.045,75.0,2.5,20.0
American Light Lager,9.53,89.35,50.0,26.0,60,1.072,70.0,3.0,18.0
American Amber Ale,4.84,31.66,15.39,28.39,60,1.04,75.0,1.5,21.11
American Amber Ale,5.44,37.72,14.69,24.61,60,1.047,84.0,1.5,16.67
American Stout,6.87,73.2,40.0,30.0,60,1.057,75.0,3.0,24.0
American Amber Ale,6.91,55.85,13.11,24.61,60,1.0590000000000002,85.0,1.3,18.33
American Brown Ale,8.01,83.34,21.93,26.5,60,1.054,65.0,1.5,20.0
American Light Lager,2.87,0.0,6.12,26.0,60,1.021,35.0,3.0,18.0
American Stout,6.02,64.95,43.41,34.0,60,1.038,75.0,3.1,19.0
American Amber Ale,4.84,31.55,11.49,65.7,90,1.046,84.0,3.1,20.0
American Light Lager,3.07,11.25,2.96,13.5,60,1.022,70.0,3.0,18.0
American Brown Ale,5.73,0.0,24.92,28.39,60,1.044,70.0,1.5,20.0
American Light Lager,7.38,48.87,38.77,28.5,60,1.044,60.0,2.9,20.0
American Brown Ale,6.5,22.61,26.15,34.07,90,1.05,75.0,1.32,18.89
American Light Lager,5.84,43.5,9.47,22.7,60,1.051,68.0,2.9,20.0
American Amber Ale,5.0,49.83,10.38,26.0,60,1.037,69.0,4.0,16.0
American Amber Ale,6.58,22.27,9.66,17.03,60,1.051,75.0,1.3,20.0
American Brown Ale,5.0,47.22,21.72,24.61,60,1.0390000000000001,80.0,1.5,21.11
American Amber Ale,5.14,33.66,14.19,26.5,60,1.045,75.0,1.5,18.89
American Light Lager,6.08,22.27,27.51,25.0,60,1.051,70.0,3.0,21.0
American Amber Ale,5.42,36.04,15.31,30.0,60,1.038,64.0,3.0,18.0
American Amber Ale,5.54,46.53,11.39,28.4,30,1.088,80.0,3.1,19.0
American Light Lager,5.77,0.0,3.02,26.0,60,1.043,70.0,3.0,18.0
American Stout,6.42,43.67,34.78,25.55,60,1.063,75.0,1.5,18.33
American Light Lager,5.61,32.23,5.39,60.0,60,1.047,75.0,3.0,9.0
American Amber Ale,5.9,46.16,13.67,28.0,60,1.0490000000000002,73.0,5.6,17.0
American Stout,6.27,47.35,28.77,49.21,60,1.051,81.0,1.5,18.89
American Brown Ale,5.72,28.04,24.66,32.18,90,1.04,70.0,1.5,18.89
American Light Lager,5.44,17.42,3.98,25.0,60,1.058,70.0,3.1,25.0
American Amber Ale,5.13,54.56,17.48,28.39,60,1.036,66.0,1.3,17.22
American Light Lager,7.2,74.65,11.23,28.39,60,1.052,65.0,1.25,20.0
American Amber Ale,5.55,0.0,13.05,26.5,60,1.044,70.0,1.25,21.11
American Light Lager,8.52,68.17,5.39,1800.0,60,1.065,65.0,3.0,19.0
American Amber Ale,9.23,118.08,15.05,28.39,90,1.064,75.0,1.5,20.0
American Amber Ale,3.39,40.0,18.93,24.61,60,1.028,23.5,1.5,20.56
American Stout,6.69,71.53,39.38,28.39,90,1.048,75.0,1.5,22.22
American Brown Ale,6.46,40.57,20.91,17.98,60,1.053,75.0,1.25,20.0
American Brown Ale,5.63,33.46,9.94,52.1,60,1.051,70.0,3.0,18.0
American Amber Ale,6.6,27.18,23.44,34.0,90,1.052,78.0,25.0,65.0
American Amber Ale,5.36,39.7,50.0,24.61,60,1.04,70.0,1.5,20.0
American Amber Ale,5.36,8.58,15.09,40.0,60,1.04,80.0,3.4,19.0
American Amber Ale,6.5,36.0,21.93,28.39,60,1.043,65.0,1.4,19.44
American Amber Ale,4.86,20.78,17.04,24.61,60,1.042,65.0,1.25,20.0
American Amber Ale,5.37,21.71,12.91,18.93,60,1.048,70.0,1.5,21.11
American Stout,6.49,67.61,46.08,30.28,60,1.051,70.0,1.5,20.0
American Stout,7.32,57.29,50.0,30.0,60,1.046,80.0,3.0,20.0
American Light Lager,6.83,138.53,6.14,26.5,60,1.047,60.0,2.0,19.44
American Light Lager,4.25,19.85,2.27,26.0,60,1.031,70.0,3.0,18.0
American Amber Ale,6.78,66.79,18.96,46.37,60,1.06,65.0,1.4,20.0
American Light Lager,4.42,39.77,2.43,690.0,60,1.042,82.0,2.5,17.0
American Amber Ale,7.91,27.89,17.22,28.39,60,1.061,70.0,2.15,20.0
American Amber Ale,6.12,43.89,14.16,56.78,60,1.052,62.0,1.5,17.78
American Brown Ale,5.62,27.94,28.49,23.2,60,1.048,75.0,3.1,20.0
American Amber Ale,5.22,21.4,13.1,20.82,30,1.046,70.0,1.27,20.0
American Amber Ale,5.64,42.95,15.16,28.39,60,1.042,75.0,1.3,17.22
American Amber Ale,6.73,93.13,21.64,22.71,60,1.054,70.0,1.2,20.0
American Light Lager,4.52,19.72,3.12,65.0,60,1.038,70.0,3.0,19.0
American Amber Ale,5.2,31.39,8.45,76.5,60,1.043,73.0,2.9,18.0
American Stout,5.25,62.37,38.25,35.0,60,1.037,68.0,2.5,18.0
American Brown Ale,6.25,17.07,25.46,28.39,60,1.051,70.0,1.4669999999999999,18.33
American Brown Ale,5.12,32.98,24.53,28.01,90,1.04,80.0,1.54,21.11
American Brown Ale,3.02,35.93,14.69,47.32,60,1.025,35.0,1.5,21.11
American Stout,5.82,36.83,40.13,23.66,60,1.054,80.0,1.5,18.33
American Amber Ale,4.92,29.76,29.96,25.0,60,1.04,73.0,3.1,19.0
American Brown Ale,6.07,51.31,20.13,28.0,60,1.045,70.0,2.7,22.0
American Light Lager,10.21,118.11,21.85,27.44,90,1.073,60.0,1.25,20.0
American Light Lager,6.97,44.39,5.57,28.39,60,1.046,60.0,1.5,20.0
American Amber Ale,7.53,34.27,18.38,24.61,60,1.056,75.0,1.25,21.11
American Light Lager,1.78,103.82,2.84,28.5,70,1.0170000000000001,35.0,3.0,18.0
American Stout,7.22,57.8,36.6,27.44,60,1.058,73.0,1.5,18.89
American Amber Ale,7.31,34.36,15.83,24.61,60,1.052,75.0,1.33,17.22
American Stout,5.46,0.0,35.91,30.28,60,1.048,70.0,1.5,22.22
American Light Lager,6.42,55.32,39.62,454.25,75,1.058,77.0,1.5,18.33
American Light Lager,5.75,37.91,4.44,30.0,60,1.043,70.0,3.0,12.0
American Amber Ale,5.85,25.57,13.82,25.0,60,1.048,75.0,3.5,18.0
American Stout,6.07,60.19,37.11,28.0,90,1.043,70.0,3.0,21.0
American Stout,7.15,59.91,34.62,51.1,60,1.058,80.0,1.5,18.33
American Amber Ale,5.03,28.69,12.78,24.61,60,1.047,70.0,1.25,15.56
American Stout,5.57,50.63,38.4,26.5,90,1.046,70.0,1.25,19.44
American Light Lager,5.25,25.49,4.48,30.28,90,1.038,65.0,1.25,18.33
American Brown Ale,7.42,29.89,31.9,20.82,60,1.069,70.0,1.5,18.33
American Light Lager,5.87,34.68,34.19,473.18,75,1.055,78.0,1.75,20.0
American Amber Ale,5.06,20.4,16.98,26.5,60,1.038,75.0,1.5,17.78
American Stout,6.08,50.43,44.29,26.5,60,1.044,70.0,1.5,11.11
American Brown Ale,6.12,21.53,15.15,28.39,60,1.046,70.0,1.24,18.33
American Stout,6.18,40.12,35.77,14.2,60,1.052,75.0,1.5,20.56
American Brown Ale,6.2,66.12,26.5,32.0,60,1.047,75.0,2.5,18.0
American Light Lager,6.45,18.85,6.25,28.39,60,1.052,85.0,1.5,18.33
American Light Lager,7.02,94.98,6.73,378.54,60,1.065,75.0,1.5,17.78
American Brown Ale,5.96,22.62,21.1,25.55,60,1.046,78.0,1.5,22.22
American Amber Ale,5.12,30.93,14.18,40.0,60,1.06,35.0,2.5,20.0
American Stout,8.34,79.23,47.67,28.39,75,1.056,55.0,1.5,20.0
American Stout,6.68,40.21,50.0,28.5,60,1.054,75.0,3.0,18.0
American Amber Ale,6.3,39.74,14.95,28.0,60,1.044,70.0,2.5,21.0
American Amber Ale,5.88,20.17,16.43,423.97,60,1.058,70.0,1.5,16.67
American Brown Ale,6.61,86.63,18.27,28.39,60,1.057,74.0,1.25,20.0
American Amber Ale,4.95,35.59,13.74,53.0,60,1.042,83.0,1.4,20.0
American Stout,6.13,188.87,46.82,28.39,60,1.048,58.0,1.0,20.0
American Light Lager,4.07,5.87,2.89,24.61,60,1.032,70.0,1.33,20.0
American Amber Ale,4.7,25.66,16.0,49.21,60,1.038,65.0,1.5,19.44
American Stout,5.07,56.18,35.69,23.0,120,1.04,60.0,3.6,22.0
American Light Lager,2.88,18.51,4.58,28.39,60,1.021,35.0,1.5,19.44
American Light Lager,7.51,71.09,4.88,26.5,60,1.0590000000000002,68.0,1.5,18.33
American Amber Ale,8.12,84.4,11.44,22.71,60,1.075,75.0,1.5,18.89
American Stout,6.19,49.77,33.11,28.39,60,1.048,65.0,1.5,20.0
American Light Lager,3.0,34.62,3.2,26.0,60,1.02,70.0,3.0,17.0
American Stout,4.76,33.06,24.6,29.5,90,1.041,80.0,2.5,20.0
American Brown Ale,6.77,63.62,16.68,28.39,60,1.047,80.0,1.75,17.78
American Brown Ale,6.24,30.1,26.03,52.62,60,1.054,85.0,1.5,20.0
American Stout,7.46,42.63,36.82,30.0,60,1.058,70.0,3.0,16.0
American Light Lager,4.32,5.91,2.63,64.35,30,1.037,78.0,1.25,20.0
American Brown Ale,7.21,48.88,24.84,28.5,60,1.054,55.0,3.0,18.0
American Light Lager,5.04,46.15,5.15,63.0,70,1.043,75.0,3.4,18.0
American Amber Ale,5.9,38.65,10.59,28.39,60,1.043,70.0,1.25,16.67
American Brown Ale,7.0,68.44,21.91,28.39,60,1.0490000000000002,64.0,1.5,16.67
American Stout,6.03,67.83,38.12,30.28,60,1.048,75.0,1.5,20.0
American Amber Ale,6.8,79.46,19.68,28.39,60,1.0490000000000002,72.0,1.5,19.44
American Amber Ale,5.33,24.2,17.99,28.39,60,1.037,70.0,1.5,17.78
American Stout,6.01,30.85,41.53,22.0,60,1.054,55.0,3.0,23.0
American Stout,10.98,0.0,40.0,28.39,60,1.082,75.0,1.5,21.11
American Light Lager,2.82,46.48,32.58,43.53,60,1.024,35.0,1.5,20.0
American Light Lager,5.75,37.48,8.9,60.0,60,1.0490000000000002,75.0,3.0,17.0
American Stout,6.47,42.95,38.96,48.0,60,1.063,70.0,2.5,20.0
American Amber Ale,4.72,30.81,17.54,28.39,60,1.037,60.0,1.5,16.67
American Stout,7.66,79.65,50.0,28.39,75,1.056,75.0,1.33,17.78
American Amber Ale,5.23,35.91,10.84,30.0,70,1.037,72.0,5.0,19.0
American Brown Ale,8.37,52.48,35.15,28.39,60,1.064,73.0,1.25,20.0
American Light Lager,5.78,44.31,4.84,29.0,60,1.043,80.0,6.0,24.0
American Light Lager,5.76,41.85,3.77,28.39,30,1.04,67.0,1.5,23.89
American Amber Ale,4.11,21.02,3.73,24.87,60,1.034,70.0,1.5,20.0
American Stout,6.39,46.87,38.67,26.5,60,1.058,65.0,1.5,22.78
American Amber Ale,4.43,37.13,13.11,22.71,90,1.023,80.0,1.5,17.78
American Light Lager,4.33,22.61,15.03,28.39,60,1.031,60.0,1.5,11.67
American Amber Ale,5.2,30.38,13.25,28.39,60,1.035,75.0,1.5,20.0
American Brown Ale,5.11,33.58,22.74,26.5,60,1.042,70.0,1.25,18.33
American Amber Ale,6.32,50.07,13.4,26.5,60,1.046,70.0,1.5,20.0
American Amber Ale,6.76,36.39,17.3,26.5,60,1.05,80.0,1.5,22.78
American Amber Ale,5.38,33.3,35.48,26.5,60,1.043,60.0,1.5,24.44
American Stout,5.77,73.37,41.66,18.0,60,1.044,62.0,3.0,23.0
American Amber Ale,5.36,37.34,11.74,26.5,60,1.04,70.0,1.0,20.0
American Stout,6.67,46.95,37.95,26.5,60,1.058,75.0,1.25,21.11
American Amber Ale,4.94,25.72,28.86,31.0,60,1.032,75.0,4.0,18.0
American Amber Ale,6.15,24.73,12.41,28.39,60,1.04,75.0,1.33,20.0
American Light Lager,5.69,41.56,4.21,23.0,60,1.047,70.0,3.0,22.0
American Light Lager,3.82,9.15,2.9,25.55,90,1.028,75.0,1.4,10.0
American Brown Ale,4.96,24.79,24.0,24.61,90,1.043,75.0,1.33,17.22
American Stout,6.33,28.09,38.58,28.39,60,1.047,60.0,1.25,20.0
American Amber Ale,5.28,30.01,11.14,28.0,60,1.041,84.0,3.0,19.0
American Stout,7.02,116.8,40.07,26.5,60,1.053,65.0,1.5,20.0
American Light Lager,5.86,56.43,7.94,28.01,60,1.045,75.0,1.4,17.78
American Amber Ale,4.75,32.43,14.38,26.5,75,1.033,65.0,1.5,20.0
American Stout,5.58,76.12,23.82,28.39,60,1.043,70.0,1.5,20.0
American Light Lager,5.03,40.53,5.15,29.0,65,1.042,75.0,3.0,19.0
American Stout,6.43,22.14,43.81,23.66,60,1.047,75.0,1.25,15.56
American Amber Ale,6.77,70.34,17.57,26.0,90,1.056,75.0,2.0,18.0
American Amber Ale,8.23,42.94,14.82,24.61,60,1.064,79.0,1.25,18.89
American Stout,5.07,47.1,38.35,49.21,60,1.0390000000000001,76.0,1.25,20.0
American Light Lager,6.79,26.44,20.86,26.5,60,1.041,70.0,1.4,26.67
American Amber Ale,5.9,32.08,16.99,16.0,60,1.075,65.0,2.5,20.0
American Light Lager,6.11,105.1,14.34,28.39,60,1.05,70.0,1.5,18.33
American Stout,5.73,39.68,50.0,28.39,60,1.045,35.0,1.5,23.89
American Stout,6.76,48.79,39.2,36.0,60,1.054,70.0,2.5,18.0
American Amber Ale,6.62,59.75,6.04,28.5,60,1.053,82.0,3.5,19.0
American Stout,5.76,35.41,19.1,28.39,90,1.044,75.0,1.25,18.33
American Amber Ale,5.59,21.29,14.02,28.39,60,1.048,70.0,1.5,20.0
American Amber Ale,6.24,61.26,14.65,26.5,60,1.053,75.0,1.5,18.33
American Amber Ale,5.04,22.85,9.05,26.5,60,1.037,70.0,1.5,21.11
American Amber Ale,5.65,70.64,15.44,28.39,60,1.04,70.0,1.25,20.0
American Brown Ale,5.78,27.83,25.74,26.0,90,1.045,70.0,3.0,21.0
American Light Lager,5.07,23.86,10.14,27.63,60,1.042,70.0,3.36,20.0
American Amber Ale,6.23,21.07,23.87,34.07,60,1.038,70.0,1.5,16.11
American Stout,8.3,17.07,50.0,26.5,60,1.062,70.0,1.5,17.22
American Brown Ale,5.68,37.58,26.74,24.61,60,1.051,74.0,1.5,21.11
American Amber Ale,7.54,66.22,15.72,25.74,60,1.053,73.0,1.5,20.0
American Amber Ale,4.83,25.99,11.06,28.39,60,1.032,65.0,1.21,21.11
American Light Lager,5.81,43.44,13.78,24.61,60,1.047,70.0,1.25,20.0
American Amber Ale,6.69,27.11,12.53,28.39,60,1.047,70.0,1.25,20.0
American Amber Ale,4.59,26.48,12.87,46.0,60,1.042,70.0,3.5,20.0
American Light Lager,6.99,23.5,43.16,15.14,60,1.071,75.0,1.5,23.33
American Amber Ale,6.02,57.15,12.51,24.61,60,1.053,68.0,1.33,20.0
American Brown Ale,4.76,28.83,22.07,45.42,60,1.043,70.0,1.6,21.11
American Brown Ale,4.91,21.08,32.09,28.39,60,1.04,70.0,1.5,20.0
American Brown Ale,5.81,25.68,28.04,47.32,60,1.052,80.0,1.5,20.0
American Stout,5.23,51.16,38.38,37.85,60,1.047,75.0,1.5,18.33
American Brown Ale,5.88,26.8,21.0,32.0,60,1.044,70.0,3.0,20.0
American Stout,5.7,34.04,40.3,25.51,90,1.054,70.0,1.33,21.11
American Amber Ale,5.87,38.03,11.96,28.39,60,1.048,65.0,1.5,16.67
American Stout,5.75,38.81,33.15,28.4,60,1.041,70.0,2.9,20.0
American Light Lager,2.89,97.25,11.89,28.39,60,1.02,35.0,1.5,20.0
American Stout,5.39,48.05,43.79,22.0,60,1.05,55.0,3.0,19.0
American Brown Ale,4.64,25.01,36.62,45.42,60,1.0390000000000001,55.0,1.25,20.0
American Light Lager,9.28,48.17,29.38,27.0,60,1.075,75.0,3.0,20.0
American Amber Ale,6.94,32.45,12.33,20.82,60,1.054,70.0,1.25,18.33
American Light Lager,6.99,66.13,17.95,28.0,60,1.0590000000000002,75.0,2.6,18.0
American Light Lager,6.09,32.35,29.78,28.39,60,1.04,70.0,1.5,18.33
American Amber Ale,5.94,30.67,11.39,15.14,30,1.034,70.0,1.5,21.11
American Amber Ale,6.05,35.39,21.79,26.0,60,1.046,69.0,2.5,19.5
American Amber Ale,5.95,20.47,16.73,26.01,90,1.053,65.0,1.25,22.22
American Stout,5.02,38.27,38.02,28.39,90,1.038,70.0,1.5,20.0
American Light Lager,7.21,67.31,7.98,28.39,60,1.056,70.0,1.5,22.78
American Light Lager,7.66,34.76,4.15,24.61,90,1.067,63.0,2.0,10.0
American Stout,5.37,39.82,32.73,25.55,60,1.043,77.0,1.3,18.33
American Amber Ale,5.42,35.69,15.23,45.0,60,1.047,70.0,1.25,20.0
American Amber Ale,5.52,37.43,11.63,28.5,60,1.041,70.0,3.0,18.0
American Amber Ale,5.88,65.49,21.64,28.39,60,1.044,70.0,1.5,20.0
American Stout,5.11,71.28,46.53,27.52,90,1.044,55.0,1.5,18.33
American Brown Ale,6.05,21.8,25.13,47.32,60,1.0490000000000002,70.0,1.5,18.33
American Light Lager,7.9,16.74,19.73,22.71,60,1.065,70.0,1.5,20.0
American Amber Ale,5.12,28.86,15.15,30.0,60,1.038,78.0,3.0,18.0
American Light Lager,6.41,43.86,36.47,51.1,60,1.061,75.0,1.5,20.0
American Stout,4.62,42.65,46.93,27.5,60,1.0390000000000001,61.0,3.0,22.0
American Stout,7.19,37.88,36.47,26.0,75,1.051,70.0,3.5,14.0
American Stout,5.02,45.51,42.45,23.0,60,1.044,65.0,2.5,19.0
American Brown Ale,4.5,40.89,29.58,83.28,60,1.046,68.0,1.5,21.11
American Amber Ale,6.93,41.99,8.72,132.49,60,1.062,80.0,1.5,20.0
American Stout,5.65,56.9,49.93,32.0,60,1.044,70.0,2.5,16.0
American Brown Ale,5.74,44.48,22.08,24.61,60,1.048,72.0,1.35,15.56
American Amber Ale,4.45,98.72,19.47,28.39,60,1.0290000000000001,35.0,1.5,20.0
American Amber Ale,5.97,28.03,13.43,25.0,60,1.044,75.0,3.0,17.5
American Amber Ale,5.11,95.72,14.44,26.5,60,1.041,70.0,1.25,20.0
American Stout,6.64,43.98,38.87,13.0,80,1.051,75.0,8.0,23.0
American Amber Ale,5.1,33.98,17.06,28.39,80,1.035,60.0,1.3330000000000002,21.11
American Light Lager,5.34,31.7,5.49,15.0,60,1.068,67.0,3.0,20.0
American Amber Ale,5.87,35.56,14.47,18.0,60,1.05,77.0,5.0,19.0
American Brown Ale,4.48,28.68,23.69,23.66,60,1.0390000000000001,62.0,1.25,17.78
American Light Lager,4.4,40.89,5.64,25.0,60,1.03,60.0,3.0,20.0
American Brown Ale,5.3,36.96,22.34,13.25,60,1.037,63.0,1.25,19.44
American Amber Ale,2.72,50.37,25.33,28.5,60,1.018,35.0,3.0,19.0
American Amber Ale,6.48,42.32,14.23,90.85,60,1.056,75.0,1.25,20.0
American Amber Ale,5.05,39.74,13.51,28.5,60,1.038,70.0,3.0,22.0
American Light Lager,6.99,195.39,8.39,18.93,60,1.0490000000000002,61.0,1.5,12.78
American Brown Ale,5.92,36.66,18.84,28.5,60,1.031,75.0,3.0,22.0
American Light Lager,4.62,25.35,4.32,26.5,60,1.036,70.0,1.5,21.11
American Brown Ale,4.98,34.98,32.65,28.39,60,1.037,65.0,1.5,21.11
American Stout,6.62,63.91,43.56,26.5,60,1.048,75.0,1.5,21.11
American Amber Ale,6.02,27.99,9.84,28.39,60,1.043,70.0,1.5,21.67
American Stout,4.95,37.77,21.21,28.39,60,1.038,75.0,1.5,18.33
American Amber Ale,5.1,31.4,14.67,26.5,60,1.04,75.0,1.5,-8.89
American Amber Ale,6.87,64.4,14.56,49.21,60,1.0590000000000002,68.0,1.3,18.33
American Light Lager,6.08,38.54,50.0,30.0,60,1.042,70.0,3.0,18.0
American Stout,5.5,43.96,48.75,24.61,60,1.047,65.0,1.25,18.89
American Brown Ale,5.99,29.44,30.02,28.39,60,1.0390000000000001,65.0,1.3,17.78
American Light Lager,5.43,25.77,4.85,1300.0,60,1.044,70.0,3.0,19.0
American Brown Ale,5.08,25.39,19.86,18.93,60,1.056,70.0,1.5,20.56
American Amber Ale,5.42,59.53,8.17,28.39,60,1.044,75.0,1.4,20.0
American Stout,9.31,54.07,50.0,28.5,60,1.065,70.0,3.0,21.0
American Stout,5.64,63.06,40.15,50.0,90,1.054,75.0,3.0,19.0
American Light Lager,7.77,77.5,7.76,56.4,60,1.053,80.0,1.25,18.89
American Stout,6.44,56.07,48.96,26.5,60,1.046,70.0,1.5,18.33
American Light Lager,5.41,59.25,3.63,28.5,90,1.041,75.0,3.0,24.0
American Stout,6.25,61.49,33.63,28.39,60,1.048,70.0,1.5,18.89
American Stout,5.12,30.84,41.29,28.39,60,1.034,70.0,1.33,20.0
American Light Lager,6.76,0.0,3.91,1300.0,60,1.054,80.0,3.0,19.0
American Brown Ale,5.67,30.46,22.97,28.39,60,1.042,75.0,1.25,21.11
American Light Lager,6.81,66.49,7.73,53.94,60,1.05,73.0,1.25,20.0
American Brown Ale,5.54,52.13,20.33,60.0,60,1.0490000000000002,65.0,3.0,18.0
American Light Lager,5.89,15.35,1.56,28.5,60,1.0,75.0,3.5,20.0
American Amber Ale,5.96,35.22,10.89,28.39,60,1.044,70.0,1.5,20.0
American Brown Ale,5.93,40.53,34.27,25.55,60,1.077,70.0,1.5,18.33
American Light Lager,5.28,43.32,5.52,27.0,60,1.041,75.0,5.6,18.0
American Light Lager,4.69,16.37,2.52,24.61,60,1.036,80.0,1.5,10.0
American Brown Ale,5.57,59.05,19.35,32.18,90,1.041,86.0,1.5,18.33
American Amber Ale,5.74,38.14,14.57,31.0,60,1.045,75.0,2.7,17.0
American Light Lager,6.3,24.03,4.39,31.0,60,1.045,80.0,2.7,16.5
American Amber Ale,5.53,41.37,10.72,28.39,45,1.046,80.0,1.25,21.11
American Stout,6.95,40.67,39.92,28.0,75,1.058,75.0,2.7,19.0
American Stout,4.27,49.72,30.02,53.0,60,1.04,75.0,1.5,16.67
American Amber Ale,5.81,51.11,15.12,30.28,60,1.034,70.0,1.5,20.0
American Amber Ale,6.24,42.86,22.79,24.61,60,1.053,70.0,1.5,18.33
American Brown Ale,5.53,36.28,22.33,26.5,60,1.041,74.0,1.5,19.44
American Amber Ale,4.78,76.86,14.95,26.5,60,1.041,70.0,1.25,17.78
American Light Lager,4.24,29.46,9.64,26.5,60,1.0290000000000001,70.0,2.9,20.0
American Stout,5.3,30.81,50.0,120.0,60,1.048,75.0,3.1,20.0
American Brown Ale,5.41,29.78,27.27,24.61,60,1.05,70.0,2.0,18.33
American Light Lager,6.03,82.08,6.61,24.0,80,1.048,82.0,3.0,22.0
American Amber Ale,4.98,32.49,17.76,29.5,90,1.045,70.0,2.7,21.0
American Stout,6.96,26.04,39.77,28.5,90,1.046,70.0,2.5,20.0
American Brown Ale,6.1,18.01,14.24,53.0,90,1.05,70.0,1.25,18.33
American Amber Ale,5.84,44.1,15.61,80.0,60,1.047,75.0,4.0,18.0
American Brown Ale,6.56,42.69,26.33,60.0,90,1.054,70.0,3.0,18.0
American Amber Ale,5.51,19.86,14.49,28.5,60,1.045,70.0,2.7,22.0
American Stout,6.69,31.48,40.0,28.39,60,1.047,41.0,1.5,22.22
American Amber Ale,5.33,25.26,11.47,27.44,90,1.046,70.0,1.5,18.33
American Light Lager,5.82,23.29,3.17,26.5,60,1.051,85.0,1.4,16.67
American Stout,8.76,68.98,48.35,28.39,75,1.064,75.0,1.5,20.0
American Brown Ale,7.23,42.43,18.72,28.39,90,1.054,75.0,1.5,18.33
American Stout,7.0,69.94,35.61,18.0,60,1.0590000000000002,72.0,3.0,18.0
American Light Lager,6.13,50.08,22.4,28.5,90,1.048,70.0,2.8,18.0
American Stout,7.53,28.55,50.0,55.0,60,1.0659999999999998,70.0,3.0,22.0
American Brown Ale,7.01,70.69,20.99,53.0,60,1.053,70.0,1.3,19.44
American Stout,9.65,20.92,50.0,28.0,60,1.088,75.0,1.5,21.0
American Stout,6.08,73.43,32.78,26.0,60,1.044,75.0,3.28,18.0
American Amber Ale,6.46,115.87,22.37,28.5,60,1.046,70.0,3.0,19.0
American Light Lager,9.21,55.93,43.72,28.39,180,1.064,80.0,1.3,20.56
American Brown Ale,4.86,48.64,22.04,28.39,60,1.034,65.0,1.5,18.33
American Amber Ale,5.76,37.13,9.47,28.5,60,1.042,70.0,3.0,18.0
American Amber Ale,6.0,39.36,7.08,26.0,60,1.048,68.0,3.0,18.0
American Light Lager,7.67,77.91,7.16,26.5,60,1.054,75.0,1.25,21.11
American Brown Ale,5.94,23.48,26.9,28.39,60,1.04,70.0,1.5,18.33
American Amber Ale,6.31,32.2,13.77,27.0,60,1.053,70.0,1.5,22.0
American Brown Ale,5.57,0.0,29.1,26.5,60,1.046,75.0,1.0,21.11
American Amber Ale,5.59,25.4,18.53,30.28,60,1.043,75.0,1.33,20.0
American Light Lager,6.86,17.12,3.9,1097.77,70,1.052,74.0,1.5,23.89
American Light Lager,6.07,12.87,5.1,52.62,60,1.0490000000000002,95.0,1.5,19.44
American Light Lager,5.16,22.33,3.11,24.0,60,1.044,70.0,3.0,21.0
American Light Lager,6.07,39.99,50.0,28.39,60,1.044,35.0,18.0,21.11
American Light Lager,1.99,27.31,3.82,15.14,90,1.0270000000000001,35.0,1.5,20.0
American Brown Ale,5.0,21.41,14.89,24.61,60,1.045,70.0,1.5,15.56
American Amber Ale,5.86,39.55,12.39,170.34,60,1.042,75.0,1.5,20.0
American Amber Ale,6.86,53.47,16.78,35.0,60,1.054,70.0,2.5,20.0
American Light Lager,7.06,108.33,5.28,45.42,60,1.054,70.0,1.5,19.44
American Light Lager,6.05,37.38,9.5,29.8,70,1.052,75.0,2.5,19.0
American Amber Ale,7.45,38.71,16.58,28.39,60,1.052,70.0,2.6,5.56
American Stout,6.95,55.49,39.62,26.5,60,1.053,65.0,1.5,19.44
American Stout,4.18,46.75,50.0,22.71,60,1.032,35.0,1.5,20.0
American Light Lager,7.49,69.03,16.31,28.39,60,1.051,75.0,1.5,20.0
American Stout,5.14,46.81,37.85,26.0,60,1.045,68.0,2.5,20.0
American Light Lager,6.21,6.08,49.37,17.5,60,1.035,70.0,2.7,18.0
American Amber Ale,5.1,39.82,11.04,28.5,60,1.04,75.0,3.0,18.0
American Amber Ale,5.44,39.14,16.85,35.0,60,1.043,60.0,2.8,18.0
American Amber Ale,4.68,35.48,14.36,28.39,60,1.033,64.0,1.25,17.22
American Stout,6.38,40.33,31.56,454.25,75,1.061,78.0,1.75,18.33
American Amber Ale,4.31,28.41,13.87,6.81,60,1.028,70.0,3.0,18.0
American Light Lager,7.68,0.0,7.13,15.14,60,1.054,70.0,1.5,17.78
American Stout,6.58,76.25,46.42,28.5,60,1.055,75.0,3.3,22.0
American Light Lager,5.73,47.49,4.85,20.82,60,1.033,70.0,1.5,15.56
American Amber Ale,4.77,37.35,11.52,24.5,60,1.044,76.0,3.0,23.0
American Light Lager,4.38,27.84,5.12,27.0,75,1.035,65.0,8.0,18.5
American Light Lager,6.39,26.86,13.68,454.25,75,1.06,78.0,1.75,18.33
American Stout,5.99,37.53,35.35,26.5,90,1.053,75.0,1.5,20.0
American Stout,3.5,42.46,50.0,22.71,60,1.031,38.0,1.5,17.78
American Brown Ale,5.58,18.18,18.74,30.28,90,1.045,70.0,1.57,21.11
American Light Lager,6.84,19.32,19.41,473.18,75,1.056,78.0,1.5,20.0
